gene,aliases,probe_id,mapping_status,confidence,vector_binding_policy,source,review_boundary
CD276,B7-H3;B7H3,2773958,KNOWN_VALIDATED_ANCHOR_CD276_FOCUSED_MATRIX,HIGH,FOCUSED_MATRIX_OR_SOURCE_TILE_REQUIRED,GSE85047_CD276_FOCUSED_PROBE2773958_ASSET,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
CD276,B7-H3;B7H3,2318743,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
B2M,,2318754,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
HLA-A,HLA,2318754,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
TAP1,,2318775,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
NKG7,,2318746,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
GZMB,,2318747,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
MYCN,,2318751,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
ODC1,,2318755,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
MICA,,2318777,SELECTED_RUNTIME_ALIAS_NOT_FULL_GPL5175,REVIEW_ONLY,SELECTED_MATRIX_ALIAS_VECTOR_REVIEW_ONLY,GSE85047_SELECTED_MATRIX_ALIAS,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
TAP2,,,FULL_GPL5175_REQUIRED_VECTOR_MISSING,UNRESOLVED_REVIEW_TARGET,FULL_PLATFORM_MAPPING_REQUIRED_BEFORE_PROMOTION,TARGETED_STATIC_ASSET_TARGET_ONLY,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
TAPBP,,,FULL_GPL5175_REQUIRED_VECTOR_MISSING,UNRESOLVED_REVIEW_TARGET,FULL_PLATFORM_MAPPING_REQUIRED_BEFORE_PROMOTION,TARGETED_STATIC_ASSET_TARGET_ONLY,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
HLA-B,,,FULL_GPL5175_REQUIRED_VECTOR_MISSING,UNRESOLVED_REVIEW_TARGET,FULL_PLATFORM_MAPPING_REQUIRED_BEFORE_PROMOTION,TARGETED_STATIC_ASSET_TARGET_ONLY,Targeted probe mapping only; not full-platform annotation proof. Mapping must pass vector binding and source certification before promotion.
